-- Subscribed to OrderBook! --

-- Subscribed to OrderBook! --

2017-12-13 01:22:44.673443 ETH-USD bid: 31.364 @ 665.20	ask: 82.442 @ 666.91
2017-12-13 01:22:44.681712 ETH-USD bid: 31.304 @ 665.20	ask: 82.442 @ 666.91
2017-12-13 01:22:44.703317 ETH-USD bid: 2.000 @ 666.12	ask: 82.442 @ 666.91
2017-12-13 01:22:44.706256 ETH-USD bid: 1.000 @ 666.13	ask: 82.442 @ 666.91
2017-12-13 01:22:44.713323 ETH-USD bid: 15.671 @ 666.13	ask: 82.442 @ 666.91
2017-12-13 01:22:44.726761 ETH-USD bid: 113.370 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.776841 ETH-USD bid: 113.370 @ 666.90	ask: 123.252 @ 666.91
2017-12-13 01:22:44.795540 ETH-USD bid: 113.370 @ 666.90	ask: 125.252 @ 666.91
2017-12-13 01:22:44.823731 ETH-USD bid: 1.000 @ 666.13	ask: 125.252 @ 666.91
2017-12-13 01:22:44.848904 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.90
2017-12-13 01:22:44.869218 ETH-BTC bid: 4.588 @ 0.04	ask: 97.991 @ 0.04
2017-12-13 01:22:44.884826 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.90
2017-12-13 01:22:44.893524 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.90
2017-12-13 01:22:44.917901 ETH-USD bid: 1.000 @ 666.13	ask: 56.013 @ 666.90
2017-12-13 01:22:44.937225 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.89
2017-12-13 01:22:44.963092 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.88
2017-12-13 01:22:44.971824 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.88
2017-12-13 01:22:44.981205 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.88
2017-12-13 01:22:44.987612 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.88
2017-12-13 01:22:44.990080 ETH-USD bid: 1.000 @ 666.13	ask: 12.000 @ 666.88
2017-12-13 01:22:45.025262 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.87
2017-12-13 01:22:45.051442 ETH-USD bid: 1.000 @ 666.13	ask: 87.823 @ 666.87
2017-12-13 01:22:45.139000 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.86
2017-12-13 01:22:45.154297 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.86
2017-12-13 01:22:45.157304 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.86
2017-12-13 01:22:45.168676 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.86
2017-12-13 01:22:45.172549 ETH-USD bid: 1.000 @ 666.13	ask: 12.000 @ 666.86
2017-12-13 01:22:45.226082 ETH-USD bid: 1.000 @ 666.13	ask: 15.000 @ 666.86
2017-12-13 01:22:45.238673 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.85
2017-12-13 01:22:45.336169 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.84
2017-12-13 01:22:45.341837 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.84
2017-12-13 01:22:45.351938 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.84
2017-12-13 01:22:45.357147 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.84
2017-12-13 01:22:45.413979 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.84
2017-12-13 01:22:45.424539 ETH-USD bid: 1.000 @ 666.13	ask: 15.000 @ 666.84
2017-12-13 01:22:45.432501 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.83
2017-12-13 01:22:45.609964 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.82
2017-12-13 01:22:45.612585 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.82
2017-12-13 01:22:45.626130 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.82
2017-12-13 01:22:45.628588 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.82
2017-12-13 01:22:45.635075 ETH-USD bid: 1.000 @ 666.13	ask: 12.000 @ 666.82
2017-12-13 01:22:45.687920 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.82
2017-12-13 01:22:45.695833 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.82
2017-12-13 01:22:45.698333 ETH-USD bid: 1.000 @ 666.13	ask: 56.013 @ 666.82
2017-12-13 01:22:45.704875 ETH-USD bid: 1.000 @ 666.13	ask: 62.013 @ 666.82
2017-12-13 01:22:45.713817 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.81
2017-12-13 01:22:45.844168 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.80
2017-12-13 01:22:45.845745 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.81
2017-12-13 01:22:45.853499 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.80
2017-12-13 01:22:45.859952 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.80
2017-12-13 01:22:45.862426 ETH-USD bid: 1.000 @ 666.13	ask: 12.000 @ 666.80
2017-12-13 01:22:45.868982 ETH-USD bid: 1.000 @ 666.13	ask: 15.000 @ 666.80
2017-12-13 01:22:45.874162 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.80
2017-12-13 01:22:45.878129 ETH-USD bid: 1.000 @ 666.13	ask: 56.013 @ 666.80
2017-12-13 01:22:45.975931 ETH-USD bid: 1.000 @ 666.13	ask: 62.013 @ 666.80
2017-12-13 01:22:45.986540 ETH-USD bid: 1.000 @ 666.13	ask: 40.810 @ 666.79
2017-12-13 01:22:46.071811 ETH-USD bid: 1.000 @ 666.13	ask: 3.000 @ 666.78
2017-12-13 01:22:46.074289 ETH-USD bid: 1.000 @ 666.13	ask: 6.000 @ 666.78
2017-12-13 01:22:46.083439 ETH-USD bid: 1.000 @ 666.13	ask: 9.000 @ 666.78
2017-12-13 01:22:46.105665 ETH-USD bid: 1.011 @ 666.13	ask: 9.000 @ 666.78
2017-12-13 01:22:46.130329 ETH-USD bid: 1.011 @ 666.13	ask: 56.013 @ 666.78
2017-12-13 01:22:46.137006 ETH-USD bid: 1.011 @ 666.13	ask: 62.013 @ 666.78
2017-12-13 01:22:46.209901 ETH-USD bid: 1.011 @ 666.13	ask: 40.810 @ 666.77
2017-12-13 01:22:46.336033 ETH-USD bid: 1.011 @ 666.13	ask: 3.000 @ 666.76
2017-12-13 01:22:46.338551 ETH-USD bid: 1.011 @ 666.13	ask: 6.000 @ 666.76
2017-12-13 01:22:46.345268 ETH-USD bid: 1.011 @ 666.13	ask: 9.000 @ 666.76
2017-12-13 01:22:46.351997 ETH-USD bid: 1.011 @ 666.13	ask: 15.000 @ 666.76
2017-12-13 01:22:46.453726 ETH-USD bid: 1.011 @ 666.13	ask: 62.013 @ 666.76
2017-12-13 01:22:46.500416 ETH-USD bid: 1.011 @ 666.13	ask: 40.810 @ 666.75
2017-12-13 01:22:46.572583 ETH-USD bid: 0.011 @ 666.13	ask: 40.810 @ 666.75
2017-12-13 01:22:46.579503 ETH-USD bid: 0.000 @ 666.13	ask: 40.810 @ 666.75
2017-12-13 01:22:46.586658 ETH-USD bid: 2.000 @ 666.12	ask: 40.810 @ 666.75
2017-12-13 01:22:46.588307 ETH-USD bid: 1.693 @ 666.12	ask: 40.810 @ 666.75
2017-12-13 01:22:46.663828 ETH-USD bid: 1.693 @ 666.12	ask: 3.000 @ 666.74
2017-12-13 01:22:46.666317 ETH-USD bid: 1.693 @ 666.12	ask: 6.000 @ 666.74
2017-12-13 01:22:46.674202 ETH-USD bid: 1.693 @ 666.12	ask: 9.000 @ 666.74
2017-12-13 01:22:46.687457 ETH-USD bid: 1.693 @ 666.12	ask: 15.000 @ 666.74
2017-12-13 01:22:46.753250 ETH-USD bid: 1.693 @ 666.12	ask: 62.013 @ 666.74
2017-12-13 01:22:46.822182 BTC-USD bid: 27.561 @ 17763.00	ask: 10.043 @ 17763.01
2017-12-13 01:22:46.844523 ETH-USD bid: 1.693 @ 666.12	ask: 40.810 @ 666.73
2017-12-13 01:22:46.853340 ETH-USD bid: 0.011 @ 666.44	ask: 40.810 @ 666.73
2017-12-13 01:22:46.904625 ETH-USD bid: 0.000 @ 666.44	ask: 40.810 @ 666.73
2017-12-13 01:22:46.906279 ETH-USD bid: 1.693 @ 666.12	ask: 40.810 @ 666.73
2017-12-13 01:22:46.912016 ETH-USD bid: 1.677 @ 666.12	ask: 40.810 @ 666.73
2017-12-13 01:22:47.076466 BTC-USD bid: 27.617 @ 17763.00	ask: 10.043 @ 17763.01
2017-12-13 01:22:47.184371 BTC-USD bid: 27.617 @ 17763.00	ask: 10.038 @ 17763.01
